Team,Batters,ROS,Playing time %
MIL,Owen Miller,210 PA,2B 10% 70 PA CF 10% 70 PA 1B 10% 70 PA
MIL,Willy Adames,595 PA,SS 85% 595 PA
MIL,Garrett Mitchell,455 PA,CF 65% 455 PA
MIL,Sal Frelick,175 PA,CF 15% 105 PA LF 5% 35 PA RF 5% 35 PA
MIL,Christian Yelich,595 PA,LF 75% 525 PA DH 10% 70 PA
MIL,Luis Urias,560 PA,3B 55% 385 PA 2B 20% 140 PA SS 5% 35 PA
MIL,Brian Anderson,525 PA,3B 30% 210 PA RF 30% 210 PA DH 10% 70 PA 1B 5% 35 PA
MIL,Tyrone Taylor,385 PA,RF 35% 245 PA CF 10% 70 PA LF 5% 35 PA DH 5% 35 PA
MIL,Joey Wiemer,175 PA,RF 20% 140 PA LF 5% 35 PA
MIL,Rowdy Tellez,560 PA,1B 70% 490 PA DH 10% 70 PA
MIL,Michael Brosseau,140 PA,1B 10% 70 PA 2B 5% 35 PA 3B 5% 35 PA
MIL,Jesse Winker,455 PA,DH 45% 315 PA LF 10% 70 PA RF 10% 70 PA
MIN,Christian Vazquez,385 PA,C 55% 385 PA
MIN,Ryan Jeffers,245 PA,C 35% 245 PA
MIN,Tony Wolters,70 PA,C 10% 70 PA
MIN,Jorge Polanco,525 PA,2B 75% 525 PA
MIN,Edouard Julien,35 PA,2B 5% 35 PA
MIN,Carlos Correa,560 PA,SS 80% 560 PA
MIN,Royce Lewis,105 PA,SS 10% 70 PA LF 5% 35 PA
MIN,Byron Buxton,525 PA,CF 50% 350 PA DH 25% 175 PA
MIN,Michael A. Taylor,455 PA,CF 45% 315 PA LF 15% 105 PA RF 5% 35 PA
MIN,Gilberto Celestino,70 PA,CF 5% 35 PA LF 5% 35 PA
MIN,Joey Gallo,490 PA,LF 40% 280 PA 1B 10% 70 PA RF 10% 70 PA DH 10% 70 PA
MIN,Nick Gordon,315 PA,LF 20% 140 PA 3B 15% 105 PA 2B 10% 70 PA
MIN,Kyle Garlick,35 PA,LF 5% 35 PA
MIN,Kyle Farmer,385 PA,3B 40% 280 PA SS 10% 70 PA 2B 5% 35 PA
MIN,Jose Miranda,525 PA,3B 40% 280 PA 1B 30% 210 PA DH 5% 35 PA
MIN,Max Kepler,560 PA,RF 70% 490 PA DH 10% 70 PA
MIN,Matt Wallner,105 PA,RF 10% 70 PA DH 5% 35 PA
MIN,Alex Kirilloff,490 PA,1B 50% 350 PA DH 20% 140 PA
MIN,Donovan Solano,175 PA,1B 10% 70 PA 2B 5% 35 PA 3B 5% 35 PA DH 5% 35 PA
MIN,Trevor Larnach,245 PA,DH 20% 140 PA LF 10% 70 PA RF 5% 35 PA
NYY,Jose Trevino,350 PA,C 50% 350 PA
NYY,Kyle Higashioka,280 PA,C 40% 280 PA
NYY,Ben Rortvedt,70 PA,C 10% 70 PA
NYY,Gleyber Torres,560 PA,2B 60% 420 PA DH 20% 140 PA
NYY,Anthony Volpe,560 PA,SS 60% 420 PA 2B 20% 140 PA
NYY,Isiah Kiner-Falefa,175 PA,SS 20% 140 PA 3B 5% 35 PA
NYY,Oswald Peraza,140 PA,SS 20% 140 PA
NYY,Harrison Bader,420 PA,CF 60% 420 PA
NYY,Estevan Florial,105 PA,CF 15% 105 PA
NYY,Aaron Hicks,385 PA,LF 40% 280 PA CF 15% 105 PA
NYY,Oswaldo Cabrera,455 PA,LF 35% 245 PA RF 15% 105 PA 3B 10% 70 PA CF 5% 35 PA
NYY,Rafael Ortega,70 PA,LF 10% 70 PA
NYY,Josh Donaldson,490 PA,3B 60% 420 PA DH 10% 70 PA
NYY,DJ LeMahieu,560 PA,3B 25% 175 PA 1B 25% 175 PA 2B 20% 140 PA DH 10% 70 PA
NYY,Aaron Judge,595 PA,RF 70% 490 PA DH 10% 70 PA CF 5% 35 PA
NYY,Anthony Rizzo,560 PA,1B 75% 525 PA DH 5% 35 PA
NYY,Giancarlo Stanton,525 PA,DH 45% 315 PA LF 15% 105 PA RF 15% 105 PA
NYM,Omar Narvaez,280 PA,C 40% 280 PA
NYM,Francisco Álvarez,315 PA,C 30% 210 PA DH 15% 105 PA
NYM,Tomas Nido,210 PA,C 30% 210 PA
NYM,Jeff McNeil,595 PA,2B 65% 455 PA RF 15% 105 PA LF 5% 35 PA
NYM,Luis Guillorme,280 PA,2B 25% 175 PA 3B 10% 70 PA SS 5% 35 PA
NYM,Danny Mendick,70 PA,2B 5% 35 PA SS 5% 35 PA
NYM,Francisco Lindor,630 PA,SS 90% 630 PA
NYM,Brandon Nimmo,560 PA,CF 80% 560 PA
NYM,Tim Locastro,70 PA,CF 5% 35 PA LF 5% 35 PA
NYM,Mark Canha,525 PA,LF 65% 455 PA CF 5% 35 PA RF 5% 35 PA
NYM,Tommy Pham,350 PA,LF 20% 140 PA DH 20% 140 PA RF 10% 70 PA
NYM,Eduardo Escobar,525 PA,3B 65% 455 PA 1B 5% 35 PA 2B 5% 35 PA
NYM,Brett Baty,210 PA,3B 25% 175 PA LF 5% 35 PA
NYM,Starling Marte,560 PA,RF 70% 490 PA CF 10% 70 PA
NYM,Pete Alonso,595 PA,1B 85% 595 PA
NYM,Mark Vientos,105 PA,1B 10% 70 PA DH 5% 35 PA
NYM,Daniel Vogelbach,420 PA,DH 60% 420 PA
OAK,Shea Langeliers,490 PA,C 50% 350 PA DH 20% 140 PA
OAK,Manny Pina,280 PA,C 40% 280 PA
OAK,Tyler Soderstrom,105 PA,C 10% 70 PA DH 5% 35 PA
OAK,Tony Kemp,490 PA,2B 35% 245 PA LF 35% 245 PA
OAK,Jonah Bride,210 PA,2B 15% 105 PA 3B 15% 105 PA
OAK,Jordan Diaz,175 PA,2B 15% 105 PA DH 10% 70 PA
OAK,Nick Allen,560 PA,SS 80% 560 PA
OAK,Esteury Ruiz,350 PA,CF 35% 245 PA LF 10% 70 PA RF 5% 35 PA
OAK,Cristian Pache,245 PA,CF 30% 210 PA LF 5% 35 PA
OAK,Cal Stevenson,70 PA,CF 5% 35 PA LF 5% 35 PA
OAK,JJ Bleday,280 PA,LF 20% 140 PA RF 15% 105 PA CF 5% 35 PA
OAK,Conner Capel,70 PA,LF 5% 35 PA RF 5% 35 PA
OAK,Cody Thomas,35 PA,LF 5% 35 PA
OAK,Jace Peterson,420 PA,3B 40% 280 PA 2B 15% 105 PA SS 5% 35 PA
OAK,Aledmys Diaz,490 PA,3B 30% 210 PA 2B 20% 140 PA SS 10% 70 PA DH 10% 70 PA
OAK,Kevin Smith,105 PA,3B 10% 70 PA SS 5% 35 PA
OAK,Zack Gelof,35 PA,3B 5% 35 PA
OAK,Ramon Laureano,560 PA,RF 65% 455 PA CF 15% 105 PA
OAK,Jesus Aguilar,385 PA,1B 40% 280 PA DH 15% 105 PA
OAK,Seth Brown,560 PA,1B 40% 280 PA LF 15% 105 PA CF 10% 70 PA DH 10% 70 PA RF 5% 35 PA
OAK,Ryan Noda,210 PA,1B 15% 105 PA DH 15% 105 PA
OAK,Dermis Garcia,70 PA,1B 5% 35 PA DH 5% 35 PA
OAK,Brent Rooker,105 PA,DH 10% 70 PA RF 5% 35 PA
PHI,J.T. Realmuto,560 PA,C 70% 490 PA 1B 5% 35 PA DH 5% 35 PA
PHI,Garrett Stubbs,140 PA,C 20% 140 PA
PHI,Rafael Marchan,70 PA,C 10% 70 PA
PHI,Bryson Stott,525 PA,2B 60% 420 PA SS 10% 70 PA 3B 5% 35 PA
PHI,Josh Harrison,175 PA,2B 15% 105 PA 3B 10% 70 PA
PHI,Trea Turner,595 PA,SS 85% 595 PA
PHI,Brandon Marsh,490 PA,CF 70% 490 PA
PHI,Dalton Guthrie,245 PA,CF 10% 70 PA LF 10% 70 PA RF 10% 70 PA 2B 5% 35 PA
PHI,Símon Muzziotti,70 PA,CF 10% 70 PA
PHI,Kyle Schwarber,595 PA,LF 70% 490 PA DH 10% 70 PA 1B 5% 35 PA
PHI,Alec Bohm,595 PA,3B 65% 455 PA 1B 15% 105 PA DH 5% 35 PA
PHI,Edmundo Sosa,210 PA,3B 15% 105 PA 2B 10% 70 PA SS 5% 35 PA
PHI,Nick Castellanos,595 PA,RF 65% 455 PA DH 20% 140 PA
PHI,Jake Cave,315 PA,RF 20% 140 PA LF 15% 105 PA CF 10% 70 PA
PHI,Darick Hall,560 PA,1B 60% 420 PA DH 20% 140 PA
PHI,Kody Clemens,245 PA,1B 15% 105 PA 2B 10% 70 PA 3B 5% 35 PA LF 5% 35 PA
PHI,Bryce Harper,315 PA,DH 40% 280 PA RF 5% 35 PA
PIT,Austin Hedges,280 PA,C 40% 280 PA
PIT,Endy Rodriguez,280 PA,C 40% 280 PA
PIT,Jason Delay,140 PA,C 20% 140 PA
PIT,Rodolfo Castro,420 PA,2B 40% 280 PA 3B 15% 105 PA SS 5% 35 PA
PIT,Ji Hwan Bae,315 PA,2B 30% 210 PA SS 10% 70 PA CF 5% 35 PA
PIT,Nick Gonzales,140 PA,2B 20% 140 PA
PIT,Tucupita Marcano,105 PA,2B 5% 35 PA SS 5% 35 PA LF 5% 35 PA
PIT,Mark Mathias,105 PA,2B 5% 35 PA 3B 5% 35 PA RF 5% 35 PA
PIT,Oneil Cruz,595 PA,SS 80% 560 PA DH 5% 35 PA
PIT,Bryan Reynolds,595 PA,CF 75% 525 PA LF 5% 35 PA DH 5% 35 PA
PIT,Ryan Vilade,105 PA,CF 5% 35 PA LF 5% 35 PA RF 5% 35 PA
PIT,Travis Swaggerty,70 PA,CF 5% 35 PA RF 5% 35 PA
PIT,Andrew McCutchen,490 PA,LF 50% 350 PA DH 20% 140 PA
PIT,Connor Joe,350 PA,LF 20% 140 PA 1B 10% 70 PA RF 10% 70 PA DH 10% 70 PA
PIT,Ke'Bryan Hayes,595 PA,3B 80% 560 PA DH 5% 35 PA
PIT,Jack Suwinski,350 PA,RF 35% 245 PA LF 10% 70 PA CF 5% 35 PA
PIT,Cal Mitchell,210 PA,RF 25% 175 PA CF 5% 35 PA
PIT,Canaan Smith-Njigba,140 PA,RF 15% 105 PA LF 5% 35 PA
PIT,Ji-Man Choi,420 PA,1B 50% 350 PA DH 10% 70 PA
PIT,Carlos Santana,560 PA,1B 40% 280 PA DH 40% 280 PA
PIT,Miguel Andujar,35 PA,DH 5% 35 PA
SD,Austin Nola,455 PA,C 60% 420 PA DH 5% 35 PA
SD,Luis Campusano,210 PA,C 30% 210 PA
SD,Brett Sullivan,105 PA,C 10% 70 PA LF 5% 35 PA
SD,Ha-seong Kim,560 PA,2B 70% 490 PA SS 10% 70 PA
SD,Rougned Odor,105 PA,2B 10% 70 PA 3B 5% 35 PA
SD,Matthew Batten,140 PA,2B 5% 35 PA LF 5% 35 PA 3B 5% 35 PA RF 5% 35 PA
SD,Eguy Rosario,105 PA,2B 5% 35 PA SS 5% 35 PA 3B 5% 35 PA
SD,Xander Bogaerts,595 PA,SS 85% 595 PA
SD,Trent Grisham,490 PA,CF 70% 490 PA
SD,Adam Engel,175 PA,CF 15% 105 PA LF 5% 35 PA RF 5% 35 PA
SD,Juan Soto,595 PA,LF 65% 455 PA RF 10% 70 PA DH 10% 70 PA
SD,Taylor Kohlwey,35 PA,LF 5% 35 PA
SD,Manny Machado,630 PA,3B 85% 595 PA DH 5% 35 PA
SD,Fernando Tatis Jr.,525 PA,RF 55% 385 PA CF 10% 70 PA DH 10% 70 PA
SD,David Dahl,70 PA,RF 10% 70 PA
SD,José Azocar,140 PA,RF 10% 70 PA LF 5% 35 PA CF 5% 35 PA
SD,Jake Cronenworth,595 PA,1B 75% 525 PA 2B 10% 70 PA
SD,Brandon Dixon,105 PA,1B 10% 70 PA LF 5% 35 PA
SD,Nelson Cruz,280 PA,DH 40% 280 PA
SD,Matt Carpenter,385 PA,DH 30% 210 PA 1B 15% 105 PA LF 5% 35 PA RF 5% 35 PA
SEA,Cal Raleigh,455 PA,C 60% 420 PA DH 5% 35 PA
SEA,Tom Murphy,280 PA,C 35% 245 PA DH 5% 35 PA
SEA,Cooper Hummel,70 PA,C 5% 35 PA LF 5% 35 PA
SEA,Kolten Wong,560 PA,2B 80% 560 PA
SEA,Sam Haggerty,105 PA,2B 5% 35 PA LF 5% 35 PA RF 5% 35 PA
SEA,J.P. Crawford,630 PA,SS 90% 630 PA
SEA,Julio Rodríguez,595 PA,CF 85% 595 PA
SEA,Jarred Kelenic,420 PA,LF 35% 245 PA RF 10% 70 PA DH 10% 70 PA CF 5% 35 PA
SEA,A.J. Pollock,455 PA,LF 35% 245 PA DH 20% 140 PA RF 10% 70 PA
SEA,Cade Marlowe,175 PA,LF 10% 70 PA RF 10% 70 PA CF 5% 35 PA
SEA,Taylor Trammell,140 PA,LF 10% 70 PA RF 10% 70 PA
SEA,Eugenio Suarez,595 PA,3B 75% 525 PA DH 10% 70 PA
SEA,Dylan Moore,420 PA,3B 20% 140 PA 1B 15% 105 PA 2B 10% 70 PA SS 10% 70 PA CF 5% 35 PA
SEA,Teoscar Hernandez,595 PA,RF 55% 385 PA DH 30% 210 PA
SEA,Ty France,595 PA,1B 70% 490 PA DH 10% 70 PA 3B 5% 35 PA
SEA,Evan White,105 PA,1B 15% 105 PA
SEA,Tommy La Stella,105 PA,DH 10% 70 PA 2B 5% 35 PA
SF,Joey Bart,350 PA,C 50% 350 PA
SF,Roberto Perez,175 PA,C 25% 175 PA
SF,Blake Sabol,140 PA,C 15% 105 PA DH 5% 35 PA
SF,Austin Wynns,35 PA,C 5% 35 PA
SF,Ford Proctor,35 PA,C 5% 35 PA
SF,Thairo Estrada,525 PA,2B 55% 385 PA SS 20% 140 PA
SF,Isan Diaz,70 PA,2B 5% 35 PA SS 5% 35 PA
SF,Brett Wisely,70 PA,2B 5% 35 PA 1B 5% 35 PA
SF,Brandon Crawford,525 PA,SS 75% 525 PA
SF,Mike Yastrzemski,525 PA,CF 55% 385 PA RF 15% 105 PA LF 5% 35 PA
SF,Austin Slater,280 PA,CF 25% 175 PA LF 15% 105 PA
SF,Bryce Johnson,70 PA,CF 10% 70 PA
SF,Joc Pederson,525 PA,LF 45% 315 PA DH 30% 210 PA
SF,Heliot Ramos,70 PA,LF 5% 35 PA RF 5% 35 PA
SF,David Villar,420 PA,3B 40% 280 PA 2B 15% 105 PA 1B 5% 35 PA
SF,Wilmer Flores,525 PA,3B 30% 210 PA 1B 20% 140 PA 2B 20% 140 PA DH 5% 35 PA
SF,Casey Schmitt,35 PA,3B 5% 35 PA
SF,Mitch Haniger,420 PA,RF 30% 210 PA DH 20% 140 PA LF 10% 70 PA
SF,Michael Conforto,420 PA,RF 25% 175 PA LF 15% 105 PA DH 15% 105 PA CF 5% 35 PA
SF,Luis González,175 PA,RF 20% 140 PA CF 5% 35 PA
SF,J.D. Davis,455 PA,1B 35% 245 PA 3B 25% 175 PA DH 5% 35 PA
SF,LaMonte Wade Jr,455 PA,1B 35% 245 PA DH 20% 140 PA LF 5% 35 PA RF 5% 35 PA
STL,Willson Contreras,595 PA,C 60% 420 PA DH 25% 175 PA
STL,Andrew Knizner,245 PA,C 30% 210 PA DH 5% 35 PA
STL,Ivan Herrera,70 PA,C 10% 70 PA
STL,Brendan Donovan,455 PA,2B 45% 315 PA 1B 10% 70 PA RF 5% 35 PA DH 5% 35 PA
STL,Nolan Gorman,315 PA,2B 40% 280 PA DH 5% 35 PA
STL,Tommy Edman,595 PA,SS 75% 525 PA 2B 10% 70 PA
STL,Paul DeJong,175 PA,SS 20% 140 PA 2B 5% 35 PA
STL,Taylor Motter,70 PA,SS 5% 35 PA 3B 5% 35 PA
STL,Tyler O'Neill,595 PA,CF 50% 350 PA LF 35% 245 PA
STL,Dylan Carlson,490 PA,CF 35% 245 PA RF 35% 245 PA
STL,Jordan Walker,630 PA,LF 40% 280 PA RF 20% 140 PA DH 20% 140 PA 3B 10% 70 PA
STL,Alec Burleson,175 PA,LF 10% 70 PA DH 10% 70 PA RF 5% 35 PA
STL,Nolan Arenado,630 PA,3B 85% 595 PA DH 5% 35 PA
STL,Lars Nootbaar,490 PA,RF 30% 210 PA LF 15% 105 PA CF 15% 105 PA DH 10% 70 PA
STL,Paul Goldschmidt,630 PA,1B 85% 595 PA DH 5% 35 PA
STL,Juan Yepez,140 PA,DH 10% 70 PA 1B 5% 35 PA RF 5% 35 PA
TB,Francisco Mejia,315 PA,C 45% 315 PA
TB,Christian Bethancourt,280 PA,C 40% 280 PA
TB,René Pinto,105 PA,C 15% 105 PA
TB,Brandon Lowe,595 PA,2B 60% 420 PA DH 15% 105 PA RF 10% 70 PA
TB,Osleivis Basabe,70 PA,2B 10% 70 PA
TB,Vidal Brujan,105 PA,2B 5% 35 PA SS 5% 35 PA LF 5% 35 PA
TB,Wander Franco,595 PA,SS 80% 560 PA DH 5% 35 PA
TB,Taylor Walls,210 PA,SS 15% 105 PA 3B 10% 70 PA 2B 5% 35 PA
TB,Jose Siri,525 PA,CF 75% 525 PA
TB,Josh Lowe,315 PA,CF 15% 105 PA RF 15% 105 PA LF 10% 70 PA DH 5% 35 PA
TB,Randy Arozarena,595 PA,LF 70% 490 PA RF 10% 70 PA DH 5% 35 PA
TB,Luke Raley,140 PA,LF 10% 70 PA 1B 5% 35 PA RF 5% 35 PA
TB,Isaac Paredes,455 PA,3B 40% 280 PA 1B 10% 70 PA DH 10% 70 PA 2B 5% 35 PA
TB,Yandy Diaz,560 PA,3B 35% 245 PA 1B 35% 245 PA DH 10% 70 PA
TB,Curtis Mead,105 PA,3B 10% 70 PA DH 5% 35 PA
TB,Manuel Margot,455 PA,RF 55% 385 PA CF 10% 70 PA
TB,Jonathan Aranda,350 PA,1B 20% 140 PA 2B 15% 105 PA 3B 5% 35 PA LF 5% 35 PA DH 5% 35 PA
TB,Kyle Manzardo,35 PA,1B 5% 35 PA
TB,Harold Ramirez,490 PA,DH 40% 280 PA 1B 25% 175 PA RF 5% 35 PA
TEX,Jonah Heim,385 PA,C 55% 385 PA
TEX,Mitch Garver,420 PA,C 30% 210 PA DH 30% 210 PA
TEX,Sam Huff,140 PA,C 15% 105 PA DH 5% 35 PA
TEX,Marcus Semien,630 PA,2B 85% 595 PA SS 5% 35 PA
TEX,Corey Seager,595 PA,SS 85% 595 PA
TEX,Leody Taveras,525 PA,CF 75% 525 PA
TEX,Bubba Thompson,280 PA,CF 15% 105 PA LF 15% 105 PA RF 10% 70 PA
TEX,Robbie Grossman,490 PA,LF 45% 315 PA RF 15% 105 PA DH 10% 70 PA
TEX,Josh H. Smith,315 PA,LF 25% 175 PA SS 10% 70 PA 2B 5% 35 PA 3B 5% 35 PA
TEX,Dustin Harris,105 PA,LF 10% 70 PA DH 5% 35 PA
TEX,Travis Jankowski,70 PA,LF 5% 35 PA RF 5% 35 PA
TEX,Josh Jung,560 PA,3B 80% 560 PA
TEX,Ezequiel Duran,210 PA,3B 15% 105 PA 2B 10% 70 PA CF 5% 35 PA
TEX,Adolis Garcia,595 PA,RF 70% 490 PA DH 10% 70 PA CF 5% 35 PA
TEX,Nate Lowe,630 PA,1B 90% 630 PA
TEX,Brad Miller,350 PA,DH 40% 280 PA 1B 10% 70 PA
TOR,Danny Jansen,385 PA,C 50% 350 PA DH 5% 35 PA
TOR,Alejandro Kirk,490 PA,C 45% 315 PA DH 25% 175 PA
TOR,Santiago Espinal,490 PA,2B 60% 420 PA 3B 5% 35 PA SS 5% 35 PA
TOR,Whit Merrifield,490 PA,2B 20% 140 PA LF 20% 140 PA RF 20% 140 PA CF 5% 35 PA DH 5% 35 PA
TOR,Addison Barger,105 PA,2B 5% 35 PA SS 5% 35 PA 3B 5% 35 PA
TOR,Bo Bichette,595 PA,SS 85% 595 PA
TOR,Kevin Kiermaier,420 PA,CF 60% 420 PA
TOR,Nathan Lukes,105 PA,CF 5% 35 PA LF 5% 35 PA RF 5% 35 PA
TOR,Daulton Varsho,560 PA,LF 50% 350 PA CF 20% 140 PA C 5% 35 PA DH 5% 35 PA
TOR,Otto Lopez,175 PA,LF 10% 70 PA 2B 5% 35 PA SS 5% 35 PA CF 5% 35 PA
TOR,Spencer Horwitz,35 PA,LF 5% 35 PA
TOR,Matt Chapman,595 PA,3B 80% 560 PA DH 5% 35 PA
TOR,Orelvis Martinez,35 PA,3B 5% 35 PA
TOR,George Springer,560 PA,RF 60% 420 PA DH 15% 105 PA CF 5% 35 PA
TOR,Cavan Biggio,315 PA,RF 15% 105 PA 2B 10% 70 PA LF 10% 70 PA 1B 5% 35 PA 3B 5% 35 PA
TOR,Vladimir Guerrero Jr.,595 PA,1B 65% 455 PA DH 20% 140 PA
TOR,Brandon Belt,350 PA,1B 30% 210 PA DH 20% 140 PA
WAS,Keibert Ruiz,385 PA,C 50% 350 PA DH 5% 35 PA
WAS,Riley Adams,245 PA,C 35% 245 PA
WAS,Israel Pineda,105 PA,C 15% 105 PA
WAS,Luis Garcia,560 PA,2B 75% 525 PA SS 5% 35 PA
WAS,Ildemaro Vargas,140 PA,2B 10% 70 PA 3B 5% 35 PA SS 5% 35 PA
WAS,Jeter Downs,70 PA,2B 5% 35 PA SS 5% 35 PA
WAS,Lucius Fox,35 PA,2B 5% 35 PA
WAS,C.J. Abrams,595 PA,SS 80% 560 PA DH 5% 35 PA
WAS,Victor Robles,525 PA,CF 75% 525 PA
WAS,Stone Garrett,280 PA,LF 30% 210 PA RF 10% 70 PA
WAS,Corey Dickerson,280 PA,LF 20% 140 PA RF 10% 70 PA DH 10% 70 PA
WAS,Jeimer Candelario,525 PA,3B 65% 455 PA DH 10% 70 PA
WAS,Carter Kieboom,280 PA,3B 25% 175 PA DH 10% 70 PA SS 5% 35 PA
WAS,Lane Thomas,560 PA,RF 40% 280 PA CF 20% 140 PA LF 15% 105 PA DH 5% 35 PA
WAS,Alex Call,455 PA,RF 30% 210 PA LF 25% 175 PA CF 5% 35 PA DH 5% 35 PA
WAS,Joey Meneses,595 PA,1B 50% 350 PA DH 20% 140 PA RF 10% 70 PA LF 5% 35 PA
WAS,Dominic Smith,420 PA,1B 45% 315 PA DH 15% 105 PA
WAS,Jake Alu,245 PA,DH 15% 105 PA 1B 5% 35 PA 2B 5% 35 PA 3B 5% 35 PA LF 5% 35 PA
