Team,Player,ROS,Playing time %,Role,IP_GS
MIA,Matt Barnes,50 IP,RP 9%,Middle,0
MIA,JT Chargois,45 IP,RP 8%,Middle,0
MIA,Huascar Brazoban,39 IP,RP 7%,Middle,0
MIA,Andrew Nardi,28 IP,RP 5%,Middle,0
MIA,George Soriano,22 IP,RP 4%,Middle,0
MIA,Eli Villalobos,17 IP,RP 3%,Middle,0
MIA,Josh Simpson,17 IP,RP 3%,Middle,0
MIA,Daniel Castano,11 IP,RP 2%,Middle,0
MIL,Corbin Burnes,175 IP,GS 18%,Starter 1,6
MIL,Brandon Woodruff,166 IP,GS 18%,Starter 2,5.7
MIL,Eric Lauer,151 IP,GS 17%,Starter 3,5.5
MIL,Freddy Peralta,112 IP,GS 15%,Starter 4,4.6
MIL,Wade Miley,124 IP,GS 16%,Starter 5,4.8
MIL,Adrian Houser,85 IP,GS 7% RP 5%,"Starter, Long",4.9
MIL,Aaron Ashby,51 IP,GS 5% RP 2%,"Starter, Long",4.8
MIL,Ethan Small,25 IP,GS 2% RP 2%,"Starter, Middle",4
MIL,Jason Alexander,40 IP,GS 2% RP 4%,"Starter, Long",5.1
MIL,Devin Williams,65 IP,RP 11% SV 80%,Closer,0
MIL,Matt Bush,53 IP,RP 9% SV 10%,Setup,0
MIL,Hoby Milner,53 IP,RP 9% SV 10%,Setup,0
MIL,Gus Varland,12 IP,RP 2%,Mop Up,0
MIL,Peter Strzelecki,47 IP,RP 8%,Middle,0
MIL,Jake Cousins,41 IP,RP 7%,Middle,0
MIL,Elvis Peguero,41 IP,RP 7%,Middle,0
MIL,Joel Payamps,35 IP,RP 6%,Middle,0
MIL,Javy Guerra,35 IP,RP 6%,Middle,0
MIL,Janson Junk,35 IP,RP 6%,Middle,0
MIL,Cam Robinson,23 IP,RP 4%,Middle,0
MIL,Tyson Miller,18 IP,RP 3%,Middle,0
MIL,Jean Carlos Mejia,18 IP,RP 3%,Middle,0
MIL,Bryse Wilson,35 IP,RP 6%,Long,0
MIN,Sonny Gray,135 IP,GS 16%,Starter 1,5.2
MIN,Pablo Lopez,151 IP,GS 17%,Starter 2,5.5
MIN,Joe Ryan,149 IP,GS 17%,Starter 3,5.4
MIN,Tyler Mahle,126 IP,GS 15%,Starter 4,5.2
MIN,Kenta Maeda,107 IP,GS 13%,Starter 5,5.1
MIN,Bailey Ober,50 IP,GS 6%,Starter,5.1
MIN,Louie Varland,44 IP,GS 4% RP 2%,"Starter, Long",4.9
MIN,Chris Paddack,23 IP,GS 3%,Starter,4.8
MIN,Simeon Woods Richardson,23 IP,GS 3%,Starter,4.7
MIN,Cole Sands,37 IP,GS 2% RP 4%,"Starter, Long",4
MIN,Josh Winder,34 IP,GS 2% RP 3%,"Starter, Long",4.9
MIN,Ronny Henriquez,32 IP,GS 2% RP 3%,"Starter, Long",4.3
MIN,Jorge Lopez,60 IP,RP 10% SV 75%,Closer,0
MIN,Jhoan Duran,60 IP,RP 10% SV 15%,Setup,0
MIN,Griffin Jax,60 IP,RP 10% SV 5%,Setup,0
MIN,Emilio Pagan,60 IP,RP 10% SV 5%,Middle,0
MIN,Trevor Megill,60 IP,RP 10%,Middle,0
MIN,Jorge Alcala,60 IP,RP 10%,Middle,0
MIN,Caleb Thielbar,60 IP,RP 10%,Middle,0
MIN,Jovani Moran,60 IP,RP 10%,Middle,0
MIN,Jordan Balazovic,12 IP,RP 2%,Middle,0
MIN,Randy Dobnak,24 IP,RP 4%,Long,0
MIN,Brent Headrick,12 IP,RP 2%,Long,0
NYY,Gerrit Cole,188 IP,GS 19%,Starter 1,6.1
NYY,Carlos Rodon,136 IP,GS 15%,Starter 2,5.6
NYY,Nestor Cortes Jr.,157 IP,GS 17%,Starter 3,5.7
NYY,Luis Severino,125 IP,GS 14%,Starter 4,5.5
NYY,Domingo German,113 IP,GS 14%,Starter 5,5
NYY,Clarke Schmidt,91 IP,GS 9% RP 5%,"Starter, Middle",4.3
NYY,Frankie Montas,32 IP,GS 4%,Starter,5
NYY,Jhony Brito,39 IP,GS 4% RP 2%,"Starter, Long",4.2
NYY,Randy Vasquez,13 IP,GS 2%,Starter,4.1
NYY,Deivi Garcia,36 IP,GS 2% RP 4%,"Starter, Long",4
NYY,Clay Holmes,63 IP,RP 11% SV 70%,Closer,0
NYY,Jonathan Loaisiga,57 IP,RP 10% SV 20%,Setup,0
NYY,Wandy Peralta,57 IP,RP 10% SV 10%,Setup,0
NYY,Michael King,57 IP,RP 10%,Middle,0
NYY,Ron Marinaccio,52 IP,RP 9%,Middle,0
NYY,Jimmy Cordero,40 IP,RP 7%,Middle,0
NYY,Tommy Kahnle,40 IP,RP 7%,Middle,0
NYY,Albert Abreu,40 IP,RP 7%,Middle,0
NYY,Greg Weissert,40 IP,RP 7%,Middle,0
NYY,Lou Trivino,34 IP,RP 6%,Middle,0
NYY,Matt Krook,29 IP,RP 5%,Middle,4
NYM,Justin Verlander,171 IP,GS 17%,Starter 1,6.2
NYM,Max Scherzer,171 IP,GS 17%,Starter 2,6.2
NYM,Kodai Senga,132 IP,GS 16%,Starter 3,5.1
NYM,Carlos Carrasco,126 IP,GS 15%,Starter 4,5.2
NYM,David Peterson,110 IP,GS 12% RP 3%,"Starter 5, Long",4.8
NYM,Jose Quintana,66 IP,GS 8%,Starter,5.1
NYM,Tylor Megill,94 IP,GS 8% RP 6%,"Starter, Long",4.6
NYM,Elieser Hernandez,57 IP,GS 3% RP 6%,"Starter, Long",4.7
NYM,Joey Lucchesi,32 IP,GS 2% RP 3%,"Starter, Middle",4.6
NYM,Jose Butto,26 IP,GS 2% RP 2%,"Starter, Long",4.4
NYM,David Robertson,57 IP,RP 10% SV 60%,Closer,0
NYM,Adam Ottavino,57 IP,RP 10% SV 40%,Closer,0
NYM,Brooks Raley,57 IP,RP 10%,Middle,0
NYM,Drew Smith,51 IP,RP 9%,Middle,0
NYM,Stephen Nogosek,46 IP,RP 8%,Middle,0
NYM,Tommy Hunter,40 IP,RP 7%,Middle,0
NYM,John Curtiss,40 IP,RP 7%,Middle,0
NYM,Jeff Brigham,28 IP,RP 5%,Middle,0
NYM,Bryce Montes de Oca,23 IP,RP 4%,Middle,0
NYM,Stephen Ridings,11 IP,RP 2%,Middle,0
NYM,Dennis Santana,11 IP,RP 2%,Middle,0
NYM,Sam Coonrod,11 IP,RP 2%,Middle,0
NYM,William Woods,11 IP,RP 2%,Middle,0
NYM,Denyi Reyes,11 IP,RP 2%,Long,0
OAK,James Kaprielian,118 IP,GS 14%,Starter 1,5.2
OAK,Drew Rucinski,130 IP,GS 16%,Starter 2,5
OAK,Shintaro Fujinami,113 IP,GS 14%,Starter 3,5
OAK,Paul Blackburn,110 IP,GS 13%,Starter 4,5.2
OAK,Ken Waldichuk,114 IP,GS 13% RP 2%,"Starter 5, Long",4.8
OAK,Kyle Muller,101 IP,GS 13%,Starter 6,4.8
OAK,JP Sears,94 IP,GS 10% RP 3%,"Starter, Long",4.6
OAK,Adrian Martinez,70 IP,GS 5% RP 5%,"Starter, Long",4.7
OAK,Adam Oller,66 IP,GS 2% RP 8%,"Starter, Long",4.5
OAK,Dany Jimenez,58 IP,RP 9% SV 40%,Closer,0
OAK,Trevor May,58 IP,RP 9% SV 40%,Closer,0
OAK,Zach Jackson,58 IP,RP 9% SV 20%,Setup,0
OAK,Jeurys Familia,58 IP,RP 9%,Middle,0
OAK,Sam Moll,58 IP,RP 9%,Middle,0
OAK,Domingo Acevedo,58 IP,RP 9%,Middle,0
OAK,Chad Smith,51 IP,RP 8%,Middle,0
OAK,Freddy Tarnok,38 IP,RP 6%,Middle,0
OAK,Kirby Snead,26 IP,RP 4%,Middle,0
OAK,Luis Medina,26 IP,RP 4%,Middle,0
OAK,Miguel Romero,13 IP,RP 2%,Middle,0
OAK,Hogan Harris,26 IP,RP 4%,Long,0
PHI,Aaron Nola,187 IP,GS 18%,Starter 1,6.4
PHI,Zack Wheeler,172 IP,GS 18%,Starter 2,5.9
PHI,Ranger Suarez,149 IP,GS 17%,Starter 3,5.4
PHI,Taijuan Walker,137 IP,GS 16%,Starter 4,5.3
PHI,Bailey Falter,108 IP,GS 11% RP 4%,"Starter 5, Long",4.8
PHI,Andrew Painter,46 IP,GS 6%,Starter,4.7
PHI,Michael Plassmeyer,59 IP,GS 6% RP 3%,"Starter, Long",4.3
PHI,Cristopher Sanchez,54 IP,GS 5% RP 3%,"Starter, Long",4.6
PHI,Griff McGarry,20 IP,GS 3%,Starter,4.2
PHI,Seranthony Dominguez,51 IP,RP 9% SV 30%,Closer,0
PHI,Gregory Soto,56 IP,RP 10% SV 25%,Closer,0
PHI,Craig Kimbrel,51 IP,RP 9% SV 25%,Closer,0
PHI,Jose Alvarado,51 IP,RP 9% SV 15%,Setup,0
PHI,Andrew Bellatti,51 IP,RP 9% SV 5%,Setup,0
PHI,Matt Strahm,45 IP,RP 8%,Middle,0
PHI,Connor Brogdon,45 IP,RP 8%,Middle,0
PHI,Nick Nelson,45 IP,RP 8%,Middle,0
PHI,Yunior Marte,40 IP,RP 7%,Middle,0
PHI,Luis Ortiz,28 IP,RP 5%,Middle,0
PHI,Andrew Vasquez,28 IP,RP 5%,Middle,0
PHI,Erich Uelmen,17 IP,RP 3%,Middle,0
PIT,Mitch Keller,155 IP,GS 18%,Starter 1,5.3
PIT,JT Brubaker,152 IP,GS 18%,Starter 2,5.2
PIT,Roansy Contreras,143 IP,GS 18%,Starter 3,4.9
PIT,Vince Velasquez,131 IP,GS 14% RP 4%,"Starter 4, Long",4.6
PIT,Rich Hill,107 IP,GS 14%,Starter 5,4.7
PIT,Johan Oviedo,108 IP,GS 12% RP 4%,"Starter, Long",4.2
PIT,Luis Ortiz,46 IP,GS 4% RP 3%,"Starter, Middle",4.1
PIT,Quinn Priester,14 IP,GS 2%,Starter,4.2
PIT,David Bednar,59 IP,RP 9% SV 90%,Closer,0
PIT,Wil Crowe,59 IP,RP 9% SV 10%,Setup,0
PIT,Jose Hernandez,20 IP,RP 3%,Mop Up,0
PIT,Chase De Jong,59 IP,RP 9%,Middle,0
PIT,Luis De Los Santos,59 IP,RP 9%,Middle,0
PIT,Robert Stephenson,59 IP,RP 9%,Middle,0
PIT,Duane Underwood Jr.,59 IP,RP 9%,Middle,0
PIT,Jarlin Garcia,59 IP,RP 9%,Middle,0
PIT,Colin Holderman,53 IP,RP 8%,Middle,0
PIT,Dauri Moreta,46 IP,RP 7%,Middle,0
PIT,Yohan Ramirez,33 IP,RP 5%,Middle,0
PIT,Mike Burrows,20 IP,RP 3%,Long,0
SD,Yu Darvish,190 IP,GS 18%,Starter 1,6.5
SD,Joe Musgrove,175 IP,GS 18%,Starter 2,6
SD,Blake Snell,146 IP,GS 17%,Starter 3,5.3
SD,Michael Wacha,131 IP,GS 15%,Starter 4,5.4
SD,Nick Martínez,137 IP,GS 13% RP 5%,"Starter 5, Long",5.2
SD,Seth Lugo,79 IP,GS 6% RP 6%,"Starter, Long",4.7
SD,Jay Groome,29 IP,GS 4%,Starter,4.5
SD,Adrian Morejon,48 IP,GS 3% RP 5%,"Starter, Middle",4.2
SD,Reiss Knehr,30 IP,GS 2% RP 3%,"Starter, Middle",4
SD,Ryan Weathers,24 IP,GS 2% RP 2%,"Starter, Long",4.1
SD,Pedro Avila,24 IP,GS 2% RP 2%,"Starter, Long",4
SD,Josh Hader,55 IP,RP 10% SV 80%,Closer,0
SD,Robert Suarez,39 IP,RP 7% SV 10%,Setup,0
SD,Drew Pomeranz,28 IP,RP 5% SV 10%,Setup,0
SD,Luis Garcia,44 IP,RP 8%,Setup,0
SD,Nabil Crismatt,55 IP,RP 10%,Middle,0
SD,Tim Hill,55 IP,RP 10%,Middle,0
SD,Steven Wilson,50 IP,RP 9%,Middle,0
SD,Michel Baez,17 IP,RP 3%,Middle,0
SD,Ray Kerr,17 IP,RP 3%,Middle,0
SD,Brent Honeywell Jr.,17 IP,RP 3%,Middle,0
SD,Jose Castillo,17 IP,RP 3%,Middle,0
SD,Angel Felipe,11 IP,RP 2%,Middle,0
SD,Tom Cosgrove,11 IP,RP 2%,Middle,0
SD,Sean Poppen,11 IP,RP 2%,Middle,0
SEA,Luis Castillo,172 IP,GS 18%,Starter 1,5.9
SEA,Robbie Ray,169 IP,GS 18%,Starter 2,5.8
SEA,Logan Gilbert,166 IP,GS 18%,Starter 3,5.7
SEA,George Kirby,143 IP,GS 16%,Starter 4,5.5
SEA,Marco Gonzales,145 IP,GS 16%,Starter 5,5.6
SEA,Bryce Miller,51 IP,GS 7%,Starter,4.5
SEA,Chris Flexen,88 IP,GS 4% RP 10%,"Starter, Long",5.3
SEA,Emerson Hancock,22 IP,GS 3%,Starter,4.5
SEA,Paul Sewald,59 IP,RP 11% SV 65%,Closer,0
SEA,Andres Munoz,54 IP,RP 10% SV 25%,Setup,0
SEA,Diego Castillo,54 IP,RP 10% SV 10%,Setup,0
SEA,Penn Murfee,59 IP,RP 11%,Middle,0
SEA,Matt Festa,48 IP,RP 9%,Middle,0
SEA,Matt Brash,48 IP,RP 9%,Middle,0
SEA,Trevor Gott,43 IP,RP 8%,Middle,0
SEA,Justin Topa,22 IP,RP 4%,Middle,0
SEA,Gabe Speier,22 IP,RP 4%,Middle,0
SEA,Prelander Berroa,22 IP,RP 4%,Middle,0
SEA,Tayler Saucedo,11 IP,RP 2%,Middle,0
SEA,J.B. Bukauskas,11 IP,RP 2%,Middle,0
SEA,Isaiah Campbell,11 IP,RP 2%,Middle,0
SEA,Brennan Bernardino,11 IP,RP 2%,Middle,0
SEA,Easton McGee,11 IP,RP 2%,Long,0
SF,Logan Webb,165 IP,GS 17%,Starter 1,6
SF,Alex Cobb,140 IP,GS 16%,Starter 2,5.4
SF,Alex Wood,116 IP,GS 14%,Starter 3,5.1
SF,Anthony DeSclafani,111 IP,GS 14%,Starter 4,4.9
SF,Sean Manaea,125 IP,GS 14%,Starter 5,5.5
SF,Ross Stripling,149 IP,GS 13% RP 7%,"Starter, Long",5.1
SF,Kyle Harrison,15 IP,GS 2%,Starter,4.5
SF,Jakob Junis,69 IP,GS 2% RP 9%,"Starter, Middle",4.9
SF,Sean Hjelle,43 IP,GS 2% RP 5%,"Starter, Middle",4
SF,Thomas Szapucki,31 IP,GS 2% RP 3%,"Starter, Middle",4
SF,Sam Long,57 IP,GS 2% RP 7%,"Starter, Long",4.7
SF,Tristan Beck,31 IP,GS 2% RP 3%,"Starter, Long",4
SF,Camilo Doval,53 IP,RP 9% SV 85%,Closer,0
SF,Tyler Rogers,65 IP,RP 11% SV 10%,Setup,0
SF,Scott Alexander,41 IP,RP 7% SV 5%,Setup,0
SF,John Brebbia,47 IP,RP 8%,Setup,0
SF,Taylor Rogers,59 IP,RP 10%,Middle,0
SF,Cole Waites,35 IP,RP 6%,Middle,0
SF,Luke Jackson,35 IP,RP 6%,Middle,0
SF,Miguel Yajure,18 IP,RP 3%,Middle,0
SF,Randy Rodriguez,18 IP,RP 3%,Middle,0
SF,Erik Miller,18 IP,RP 3%,Middle,0
STL,Adam Wainwright,150 IP,GS 16%,Starter 1,5.8
STL,Jordan Montgomery,163 IP,GS 18%,Starter 2,5.6
STL,Miles Mikolas,181 IP,GS 18%,Starter 3,6.2
STL,Jack Flaherty,113 IP,GS 14%,Starter 4,5
STL,Steven Matz,117 IP,GS 16%,Starter 5,4.5
STL,Matthew Liberatore,75 IP,GS 10%,Starter,4.6
STL,Dakota Hudson,92 IP,GS 6% RP 7%,"Starter, Long",5.3
STL,Connor Thomas,24 IP,GS 2% RP 2%,"Starter, Long",4
STL,Ryan Helsley,58 IP,RP 10% SV 70%,Closer,0
STL,Giovanny Gallegos,58 IP,RP 10% SV 30%,Setup,0
STL,Jordan Hicks,40 IP,RP 7%,Setup,0
STL,Genesis Cabrera,40 IP,RP 7%,Setup,0
STL,Wilking Rodriguez,12 IP,RP 2%,Mop Up,0
STL,Chris Stratton,58 IP,RP 10%,Middle,0
STL,Zack Thompson,40 IP,RP 7%,Middle,0
STL,Jake Woodford,35 IP,RP 6%,Middle,0
STL,Drew VerHagen,29 IP,RP 5%,Middle,0
STL,JoJo Romero,17 IP,RP 3%,Middle,0
STL,Anthony Misiewicz,17 IP,RP 3%,Middle,0
STL,Jake Walsh,17 IP,RP 3%,Middle,0
STL,James Naile,12 IP,RP 2%,Middle,0
STL,Andre Pallante,52 IP,RP 9%,Long,0
STL,Packy Naughton,40 IP,RP 7%,Long,0
TB,Shane McClanahan,160 IP,GS 17%,Starter 1,5.8
TB,Tyler Glasnow,105 IP,GS 13%,Starter 2,5
TB,Drew Rasmussen,143 IP,GS 17%,Starter 3,5.2
TB,Jeffrey Springs,143 IP,GS 17%,Starter 4,5.2
TB,Zach Eflin,135 IP,GS 16%,Starter 5,5.2
TB,Josh Fleming,80 IP,GS 7% RP 6%,"Starter, Long",3.8
TB,Yonny Chirinos,63 IP,GS 5% RP 5%,"Starter, Long",4
TB,Taj Bradley,30 IP,GS 4%,Starter,4.7
TB,Luis Patiño,57 IP,GS 4% RP 5%,"Starter, Middle",4
TB,Peter Fairbanks,50 IP,RP 8% SV 40%,Closer,0
TB,Jason Adam,56 IP,RP 9% SV 30%,Closer,0
TB,Colin Poche,56 IP,RP 9% SV 20%,Closer,0
TB,Jalen Beeks,56 IP,RP 9% SV 10%,Setup,0
TB,Kevin Kelly,37 IP,RP 6%,Mop Up,0
TB,Garrett Cleavinger,56 IP,RP 9%,Middle,0
TB,Ryan Thompson,50 IP,RP 8%,Middle,0
TB,Shawn Armstrong,44 IP,RP 7%,Middle,0
TB,Colby White,37 IP,RP 6%,Middle,0
TB,Calvin Faucher,37 IP,RP 6%,Middle,0
TB,Trevor Kelley,25 IP,RP 4%,Middle,0
TB,Andrew Kittredge,19 IP,RP 3%,Middle,0
TEX,Jacob deGrom,115 IP,GS 12%,Starter 1,5.9
TEX,Nathan Eovaldi,143 IP,GS 16%,Starter 2,5.5
TEX,Martin Perez,163 IP,GS 18%,Starter 3,5.6
TEX,Jon Gray,140 IP,GS 16%,Starter 4,5.4
TEX,Andrew Heaney,118 IP,GS 14%,Starter 5,5.2
TEX,Dane Dunning,103 IP,GS 9% RP 5%,"Starter, Long",5.1
TEX,Jake Odorizzi,82 IP,GS 6% RP 6%,"Starter, Long",4.9
TEX,Cole Ragans,51 IP,GS 3% RP 5%,"Starter, Long",4.7
TEX,Cole Winn,15 IP,GS 2%,Starter,4.5
TEX,Spencer Howard,38 IP,GS 2% RP 4%,"Starter, Middle",4.6
TEX,Glenn Otto,28 IP,GS 2% RP 2%,"Starter, Long",5
TEX,Jose Leclerc,51 IP,RP 9% SV 70%,Closer,0
TEX,Jonathan Hernandez,51 IP,RP 9% SV 20%,Setup,0
TEX,Brock Burke,69 IP,RP 12% SV 10%,Long,0
TEX,Josh Sborz,51 IP,RP 9%,Middle,0
TEX,Will Smith,51 IP,RP 9%,Middle,0
TEX,Joe Barlow,40 IP,RP 7%,Middle,0
TEX,John King,34 IP,RP 6%,Middle,0
TEX,Yerry Rodriguez,23 IP,RP 4%,Middle,0
TEX,Brett Martin,11 IP,RP 2%,Middle,0
TEX,Taylor Hearn,51 IP,RP 9%,Long,0
TEX,Zak Kent,11 IP,RP 2%,Long,0
TOR,Kevin Gausman,166 IP,GS 18%,Starter 1,5.7
TOR,Alek Manoah,175 IP,GS 18%,Starter 2,6
TOR,Chris Bassitt,160 IP,GS 17%,Starter 3,5.8
TOR,Jose Berrios,145 IP,GS 16%,Starter 4,5.6
TOR,Yusei Kikuchi,99 IP,GS 12% RP 2%,"Starter 5, Long",4.5
TOR,Hyun-Jin Ryu,38 IP,GS 5%,Starter,4.7
TOR,Mitchell White,61 IP,GS 4% RP 6%,"Starter, Long",4.1
TOR,Ricky Tiedemann,14 IP,GS 2%,Starter,4.2
TOR,Nate Pearson,49 IP,GS 2% RP 6%,"Starter, Middle",4.4
TOR,Trevor Richards,53 IP,GS 2% RP 8%,"Starter, Long",2
TOR,Yosver Zulueta,25 IP,GS 2% RP 2%,"Starter, Long",4.2
TOR,Thomas Hatch,26 IP,GS 2% RP 2%,"Starter, Long",4.5
TOR,Jordan Romano,58 IP,RP 10% SV 85%,Closer,0
TOR,Adam Cimber,64 IP,RP 11% SV 10%,Setup,0
TOR,Anthony Bass,58 IP,RP 10% SV 5%,Setup,0
TOR,Yimi Garcia,58 IP,RP 10%,Middle,0
TOR,Erik Swanson,52 IP,RP 9%,Middle,0
TOR,Tim Mayza,46 IP,RP 8%,Middle,0
TOR,Zach Pop,35 IP,RP 6%,Middle,0
TOR,Junior Fernandez,12 IP,RP 2%,Middle,0
TOR,Chad Green,12 IP,RP 2%,Middle,0
TOR,Zach Thompson,23 IP,RP 4%,Long,0
TOR,Trent Thornton,12 IP,RP 2%,Long,0
WAS,Josiah Gray,155 IP,GS 18%,Starter 1,5.3
WAS,Patrick Corbin,135 IP,GS 17%,Starter 2,4.9
WAS,MacKenzie Gore,97 IP,GS 12%,Starter 3,5
WAS,Trevor Williams,119 IP,GS 12% RP 5%,"Starter 4, Long",4.4
WAS,Chad Kuhl,93 IP,GS 12%,Starter 5,4.8
WAS,Joan Adon,73 IP,GS 10%,Starter,4.5
WAS,Paolo Espino,91 IP,GS 7% RP 6%,"Starter, Long",4.5
WAS,Cory Abbott,75 IP,GS 6% RP 5%,"Starter, Long",4.3
WAS,Stephen Strasburg,31 IP,GS 4%,Starter,4.8
WAS,Jake Irvin,14 IP,GS 2%,Starter,4.2
WAS,Kyle Finnegan,60 IP,RP 9% SV 75%,Closer,0
WAS,Carl Edwards Jr.,60 IP,RP 9% SV 20%,Setup,0
WAS,Hunter Harvey,53 IP,RP 8% SV 5%,Middle,0
WAS,Thad Ward,46 IP,RP 7%,Mop Up,0
WAS,Erasmo Ramirez,60 IP,RP 9%,Middle,0
WAS,Victor Arano,60 IP,RP 9%,Middle,0
WAS,Mason Thompson,53 IP,RP 8%,Middle,0
WAS,Jordan Weems,46 IP,RP 7%,Middle,0
WAS,Matt Cronin,40 IP,RP 6%,Middle,0
WAS,Hobie Harris,27 IP,RP 4%,Middle,0
WAS,Anthony Banda,20 IP,RP 3%,Middle,0
WAS,Zach Brzykcy,20 IP,RP 3%,Middle,0
WAS,Andres Machado,13 IP,RP 2%,Middle,0
